Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,Dropped,TimeInSeconds,msInPresentAPI,msBetweenPresents,AllowsTearing,PresentMode,msUntilRenderComplete,msUntilDisplayed,msBetweenDisplayChange
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,1,602.44215489999999,2.77970000000000,3.82430000000000,0,Composed: Copy with GPU GDI,6.54160000000000,0.00000000000000,0.00000000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,1,602.44596530000001,2.75390000000000,3.81040000000000,0,Composed: Copy with GPU GDI,7.15960000000000,0.00000000000000,0.00000000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,1,602.45281899999998,0.32080000000000,6.85370000000000,0,Composed: Copy with GPU GDI,4.14210000000000,0.00000000000000,0.00000000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,0,602.45619629999999,0.77910000000000,3.37730000000000,0,Composed: Copy with GPU GDI,4.57780000000000,18.99480000000000,13.34130000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,1,602.45977270000003,1.01570000000000,3.57640000000000,0,Composed: Copy with GPU GDI,5.36830000000000,0.00000000000000,0.00000000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,1,602.46310110000002,2.06020000000000,3.32840000000000,0,Composed: Copy with GPU GDI,5.76470000000000,0.00000000000000,0.00000000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,0,602.46715319999998,1.73440000000000,4.05210000000000,0,Composed: Copy with GPU GDI,5.53110000000000,21.37960000000000,13.34170000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,1,602.47062949999997,2.07110000000000,3.47630000000000,0,Composed: Copy with GPU GDI,6.53420000000000,0.00000000000000,0.00000000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,1,602.47444689999998,2.74380000000000,3.81740000000000,0,Composed: Copy with GPU GDI,6.45820000000000,0.00000000000000,0.00000000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,1,602.47824379999997,2.68090000000000,3.79690000000000,0,Composed: Copy with GPU GDI,6.37810000000000,0.00000000000000,0.00000000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,0,602.48414190000005,0.50130000000000,5.89810000000000,0,Composed: Copy with GPU GDI,4.18550000000000,17.72520000000000,13.33430000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,1,602.48744690000001,0.90190000000000,3.30500000000000,0,Composed: Copy with GPU GDI,5.22570000000000,0.00000000000000,0.00000000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,1,602.49102170000003,1.67610000000000,3.57480000000000,0,Composed: Copy with GPU GDI,5.38460000000000,0.00000000000000,0.00000000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,0,602.49453889999995,1.88430000000000,3.51720000000000,0,Composed: Copy with GPU GDI,5.58160000000000,20.66310000000000,13.33490000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,1,602.49816829999997,1.96580000000000,3.62940000000000,0,Composed: Copy with GPU GDI,6.27130000000000,0.00000000000000,0.00000000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,1,602.50175600000000,2.70330000000000,3.58770000000000,0,Composed: Copy with GPU GDI,6.38570000000000,0.00000000000000,0.00000000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,0,602.50545569999997,2.70530000000000,3.69970000000000,0,Composed: Copy with GPU GDI,6.41420000000000,23.09110000000000,13.34480000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,1,602.50915380000004,2.73480000000000,3.69810000000000,0,Composed: Copy with GPU GDI,6.41310000000000,0.00000000000000,0.00000000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,1,602.51292730000000,3.28670000000000,3.77350000000000,0,Composed: Copy with GPU GDI,6.99970000000000,0.00000000000000,0.00000000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,1,602.52058039999997,0.02900000000000,7.65310000000000,0,Composed: Copy with GPU GDI,3.38210000000000,0.00000000000000,0.00000000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,0,602.52380979999998,0.17480000000000,3.22940000000000,0,Composed: Copy with GPU GDI,3.90840000000000,18.07230000000000,13.33530000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,1,602.52740359999996,0.33830000000000,3.59380000000000,0,Composed: Copy with GPU GDI,4.69270000000000,0.00000000000000,0.00000000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,1,602.53083779999997,1.27860000000000,3.43420000000000,0,Composed: Copy with GPU GDI,5.01160000000000,0.00000000000000,0.00000000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,0,602.53439490000005,1.47810000000000,3.55710000000000,0,Composed: Copy with GPU GDI,5.20860000000000,20.84410000000000,13.35690000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,1,602.53765039999996,1.97010000000000,3.25550000000000,0,Composed: Copy with GPU GDI,6.33530000000000,0.00000000000000,0.00000000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,1,602.54152969999996,2.47320000000000,3.87930000000000,0,Composed: Copy with GPU GDI,6.20670000000000,0.00000000000000,0.00000000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,1,602.54511330000003,2.64810000000000,3.58360000000000,0,Composed: Copy with GPU GDI,6.35650000000000,0.00000000000000,0.00000000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,0,602.55097509999996,0.51280000000000,5.86180000000000,0,Composed: Copy with GPU GDI,4.27080000000000,17.65580000000000,13.39190000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,1,602.55421939999997,1.01620000000000,3.24430000000000,0,Composed: Copy with GPU GDI,5.38220000000000,0.00000000000000,0.00000000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,1,602.55784480000000,1.78080000000000,3.62540000000000,0,Composed: Copy with GPU GDI,5.78060000000000,0.00000000000000,0.00000000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,0,602.56125610000004,2.38650000000000,3.41130000000000,0,Composed: Copy with GPU GDI,6.11210000000000,20.63910000000000,13.26430000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,1,602.56465419999995,2.74160000000000,3.39810000000000,0,Composed: Copy with GPU GDI,7.12780000000000,0.00000000000000,0.00000000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,1,602.56846849999999,3.33250000000000,3.81430000000000,0,Composed: Copy with GPU GDI,7.18400000000000,0.00000000000000,0.00000000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,0,602.57297349999999,2.70210000000000,4.50500000000000,0,Composed: Copy with GPU GDI,6.46830000000000,22.26280000000000,13.34110000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,1,602.57673599999998,2.72490000000000,3.76250000000000,0,Composed: Copy with GPU GDI,7.11720000000000,0.00000000000000,0.00000000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,1,602.58345659999998,0.41660000000000,6.72060000000000,0,Composed: Copy with GPU GDI,4.27400000000000,0.00000000000000,0.00000000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,1,602.58685400000002,0.89890000000000,3.39740000000000,0,Composed: Copy with GPU GDI,4.66380000000000,0.00000000000000,0.00000000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,0,602.59039350000000,1.13910000000000,3.53950000000000,0,Composed: Copy with GPU GDI,4.90230000000000,18.17750000000000,13.33470000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,1,602.59420320000004,1.09110000000000,3.80970000000000,0,Composed: Copy with GPU GDI,5.47340000000000,0.00000000000000,0.00000000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,1,602.59798079999996,1.71820000000000,3.77760000000000,0,Composed: Copy with GPU GDI,5.50100000000000,0.00000000000000,0.00000000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,0,602.60155989999998,1.95140000000000,3.57910000000000,0,Composed: Copy with GPU GDI,5.71220000000000,20.35480000000000,13.34370000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,1,602.60505539999997,2.23770000000000,3.49550000000000,0,Composed: Copy with GPU GDI,6.61560000000000,0.00000000000000,0.00000000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,1,602.60865369999999,3.04520000000000,3.59830000000000,0,Composed: Copy with GPU GDI,6.81050000000000,0.00000000000000,0.00000000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,0,602.61279560000003,2.68870000000000,4.14190000000000,0,Composed: Copy with GPU GDI,6.46910000000000,22.46540000000000,13.34630000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,1,602.61857810000004,0.70940000000000,5.78250000000000,0,Composed: Copy with GPU GDI,5.09360000000000,0.00000000000000,0.00000000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,1,602.62188860000003,1.80150000000000,3.31050000000000,0,Composed: Copy with GPU GDI,5.72810000000000,0.00000000000000,0.00000000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,0,602.62547129999996,2.16660000000000,3.58270000000000,0,Composed: Copy with GPU GDI,6.04390000000000,23.11710000000000,13.32740000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,1,602.62926249999998,2.27320000000000,3.79120000000000,0,Composed: Copy with GPU GDI,6.07090000000000,0.00000000000000,0.00000000000000
dota2.exe,9448,0x0000018B3FFE8DE0,DXGI,0,0,1,602.63275199999998,2.60540000000000,3.48950000000000,0,Composed: Copy with GPU GDI,7.23210000000000,0.00000000000000,0.00000000000000
