,test,hw,sample,worst_frame,max_fps,avg_fps,avg_fr,1%_low,wifps_10,wifps_5,wifps_2,wifps_1,wifps_0.5
0,0.0,gskill_28c14,0.0,0.027979399999999998,251.0270585491021,179.76909812156384,174.716391420775,130.15849252055827,140.19294949257312,132.92175407705537,129.77738044337335,125.1359267512838,121.50940703097122
1,0.0,gskill_28c14,1.0,0.0317531,254.73969889064986,175.74972542059754,170.78528406093932,130.71931435578526,136.95053571428616,133.96717756926137,130.76909584013595,128.14673510764973,122.23505937630739
2,0.0,gskill_28c14,2.0,0.030526499999999998,253.5018469315015,174.62027084362617,169.7155181783464,129.69798990525476,136.0063106408993,132.99123717667698,130.66296984929318,127.05858093126386,124.27772178548234
3,0.0,gskill_28c14,3.0,0.0288461,251.47913988029256,174.5140633279849,169.70487293665195,129.8945466063071,136.03815569584972,133.22976176127932,130.6740782242963,128.32338084521123,123.62933743713114
4,0.0,gskill_28c14,4.0,0.0265261,248.49244463981537,174.1015748542567,169.43239775513211,129.9234044619007,135.98318415163888,133.04622820954637,130.81954783321896,126.96557529532137,123.864052123794
5,0.0,gskill_28c14,5.0,0.029113499999999997,250.0312057430288,174.08215740295554,169.33572941556736,129.78170084946817,136.07202338850385,133.02865671641786,130.29464817369833,127.44061732223362,122.50253146246204
6,0.0,gskill_28c14,6.0,0.0286235,251.85242820373884,173.98600619838615,169.14649379372398,129.29503195025814,135.49208577252583,132.85568802284257,130.55044594441478,127.44843573046435,123.51639344262296
7,0.0,gskill_28c14,7.0,0.027760100000000003,251.53504909636897,173.9405330103796,169.06524208821065,129.05422194165882,135.14217128520937,132.55190855238808,129.51791177341363,126.50210768211363,120.96232160984053
8,1.0,gskill_32c14,0.0,0.0691797,266.54380335223385,180.733021100666,175.15677959852428,129.92565492149288,140.76169508908825,132.7929309218585,129.3271515327478,124.81348389048121,120.7422317006539
9,1.0,gskill_32c14,1.0,0.0263784,257.6995262681643,176.5242173596331,171.00014694938437,127.1144786027223,136.45307945463085,129.7602735047812,126.92512158848825,123.71086619597038,121.34622481184755
10,1.0,gskill_32c14,2.0,0.0254645,255.3121081459038,175.06194340564687,169.78458281953368,126.46196689025136,135.53355041762535,129.77468460350158,126.51238198217212,123.34614346782554,121.41471147748894
11,1.0,gskill_32c14,3.0,0.0287898,254.19258896842965,175.50260347393692,170.10983520872563,126.30911703596365,135.60595299442113,128.82749552633646,125.99292648082344,122.47623148324486,120.0057124310289
12,1.0,gskill_32c14,4.0,0.0266161,254.4257731958763,175.1150180725133,169.78878869690624,126.57494998593906,135.43492091196705,129.1665095738722,126.216672940151,122.43115923501738,118.83108408061794
13,1.0,gskill_32c14,5.0,0.0286708,253.64420768939235,175.4807817790669,170.2078637505513,126.69658196389754,136.10853970748514,129.5906340420813,126.76799178387881,123.23621710014008,121.28115809755604
14,1.0,gskill_32c14,6.0,0.0277756,258.578086896293,176.40958465026387,170.80046131122398,125.87740026536409,136.1036896091681,129.229938155922,125.99998521978186,122.35422343324248,120.38339591659317
15,1.0,gskill_32c14,7.0,0.0279265,254.45395732966296,174.5164748590074,169.36593474115656,126.28933197829623,135.40785427016814,128.89950741295226,126.02243823887513,123.0314350488952,120.65787127830274
16,2.0,gskill_32c14_sc,0.0,0.026627199999999997,267.63334784501524,180.97040926079399,174.5760657868816,127.66666004344951,138.2289999787096,130.30403928790673,127.06346233522449,123.08244934354147,119.19062158285645
17,2.0,gskill_32c14_sc,1.0,0.026376999999999998,260.2365184484388,177.7992139939126,171.84025352526243,126.29112802964016,135.74847789824847,129.3965817786751,126.14594330242744,122.40264995574039,119.05064889251962
18,2.0,gskill_32c14_sc,2.0,0.0278305,257.1996937212864,175.26658686332513,169.50490526612296,124.498381801434,133.57779669474854,127.6614197191362,124.40718869859114,120.0473070291104,115.97019901745276
19,2.0,gskill_32c14_sc,3.0,0.0297181,255.0283763661394,175.15304700339817,169.54616635838838,124.21251571554988,133.67778224571074,127.18184050797208,123.77147065394571,119.66642080829551,116.93232270006618
20,2.0,gskill_32c14_sc,4.0,0.0259054,255.02131192914482,175.43315330941383,169.8178949022487,125.20979833082069,133.88230333389612,128.50528288788627,125.48960959446805,121.6397077447638,118.15295653179568
21,2.0,gskill_32c14_sc,5.0,0.0255931,254.8412158314352,175.1646520191217,169.57184871915635,125.35876620705425,134.00946575745655,128.36200458565347,125.42826871212917,120.90040629049774,118.48524651510897
22,2.0,gskill_32c14_sc,6.0,0.0258918,260.2890568554438,178.139410010361,171.95857428441028,124.22697116469277,134.7809264634737,126.98478285229464,123.3542572899919,118.77226987456235,117.0805315924458
23,2.0,gskill_32c14_sc,7.0,0.0295424,257.14028807277623,175.99503452370627,170.27377574227185,124.31707210201293,133.9757623531992,127.57623224698084,124.46329993999636,120.45411810161634,116.34310642183219
24,3.0,gskill_36c16,0.0,0.0284511,259.77064137848504,181.09630615622973,175.76374936240333,129.56650263626403,140.847139788368,132.80968569397675,129.0692184222236,124.3752689747723,120.71015884447651
